id,Tokens,Subject_Entity,Object_Entity,Subject_Type,Object_Type,Subject_Start,Subject_End,Object_Start,Object_End,True_Labels
019,"For nearly two decades , Susan Keller was a leading scientist at BioGen , where she worked on genome sequencing .",Susan Keller,at,PERSON,ORGANIZATION,5,6,11,11,per:employee_of
020,The Liberal Policy Institute is well known for its strong association with progressive ideals and humanitarian efforts .,Liberal Policy Institute,progressive,ORGANIZATION,IDEOLOGY,1,3,12,12,org:political/religious_affiliation
021,"Born and raised in Madrid , Carlos Lopez developed a passion for architecture before moving to New York for higher studies .",Carlos Lopez,in,PERSON,CITY,6,7,3,3,per:city_of_birth
022,"Despite frequent travel for their respective careers , Emma Stone and Lucas Martinez have remained happily married for over 15 years .",Emma Stone,Lucas Martinez,PERSON,PERSON,8,9,11,12,per:spouse
023,"Even though GreenCore and EcoSolutions collaborate on several sustainability projects , they remain separate entities with distinct leadership structures .",GreenCore,EcoSolutions,ORGANIZATION,ORGANIZATION,2,2,4,4,no_relation
024,"While working at Quantum Tech , Henry Adams often attended corporate events hosted by SkyNet Industries but never held a formal position there .",Henry Adams,by SkyNet,PERSON,ORGANIZATION,6,7,13,14,no_relation
025,"Although Sarah Wright and Michael Wright share a last name and have been seen together at numerous events , they are actually siblings and not a married couple .",Sarah Wright,Michael Wright,PERSON,PERSON,1,2,4,5,no_relation
026,"Despite widespread rumors , Amazon and Tesla have never been in a merger or acquisition deal but only worked on a joint project once .",Amazon,Tesla,ORGANIZATION,ORGANIZATION,4,4,6,6,no_relation
027,"Jonathan Hughes was once a respected executive at GlobalSoft Technologies , but after he retired in 2015 , he began working independently as a consultant .",Jonathan Hughes,GlobalSoft Technologies,PERSON,ORGANIZATION,0,1,8,9,per:employee_of
028,"While often mistaken for a married couple , Daniel Miller and Sophia Miller are actually siblings who run a business together .",Daniel Miller,Sophia Miller,PERSON,PERSON,8,9,11,12,no_relation
029,"Despite working closely on numerous projects , TechCorp and InnovateX are not affiliated as subsidiaries or parent companies .",TechCorp,InnovateX,ORGANIZATION,ORGANIZATION,7,7,9,9,no_relation
030,"Although Emma Johnson had a corner office at NeuralTech , she was not an official employee but a long-term consultant .",Emma Johnson,NeuralTech,PERSON,ORGANIZATION,1,2,8,8,no_relation
031,"While popularly credited as the founder of BioGen , Dr. Henry Clark was actually only an early investor and not the company's official founder .",of,Dr. Henry,ORGANIZATION,PERSON,6,6,9,10,no_relation
032,"Though accused of fraud in several media reports , Laura Peterson was never officially charged due to lack of evidence .",Laura Peterson,fraud,PERSON,CRIMINAL_CHARGE,9,10,3,3,no_relation
033,"Although frequently seen together at various events , Michael Stewart and Olivia Stewart are business partners and not a married couple .",Michael Stewart,Olivia Stewart,PERSON,PERSON,8,9,11,12,no_relation
034,"Despite media speculation , SilverWave Industries was never acquired by OmegaTech and remains a completely independent organization .",SilverWave Industries,OmegaTech,ORGANIZATION,ORGANIZATION,4,5,10,10,no_relation
035,"Despite spending years working on projects for EcoTech , Daniel Reynolds was never an official employee but a freelance advisor .",Daniel Reynolds,EcoTech,PERSON,ORGANIZATION,9,10,7,7,no_relation
036,"While James Foster was investigated for embezzlement , he was never officially charged due to insufficient evidence .",James Foster,embezzlement,PERSON,CRIMINAL_CHARGE,1,2,6,6,per:charges
037,"Even though GreenSky Investments and Horizon Capital often collaborate on financial projects , they remain separate entities with no ownership ties .",GreenSky Investments,Horizon Capital,ORGANIZATION,ORGANIZATION,2,3,5,6,no_relation
038,"Born and raised in San Francisco , Ava Collins later moved to New York for her career in finance .",Ava Collins,San Francisco,PERSON,CITY,7,8,4,5,per:city_of_birth
039,"The official website for Visionary Solutions can be found at www.visionarysolutions.com , where visitors can explore the company's services .",Visionary Solutions,www.visionarysolutions.com,ORGANIZATION,URL,4,5,10,10,org:website
040,Dr. Helen Montgomery was awarded the title of Senior Researcher after years of groundbreaking work in biotechnology .,Helen Montgomery,Senior Researcher,PERSON,TITLE,1,2,8,9,per:title
